ID,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Yes,15,0.040348391835878,76236,4.882160101382887
C32020,ID Building East,42.344827,-71.028664,Yes,17,0.0482818933790037,54886,4.739461581278475
C32021,ID Building West,42.344796,-71.031614,Yes,19,0.0345051238811778,77090,4.886998045671099
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Yes,25,0.0151388206743131,103839,5.016360497093302
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Yes,19,0.01877730752119,87659,4.9427965119834765
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Yes,18,0.0398185540887546,88401,4.946457177818791
D32052,Jamaica St at South St,42.30604563,-71.11570891,Yes,19,0.1054500540373629,12954,4.112403892717874
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Yes,31,0.1097389704101893,41298,4.615929019937377
B32010,Kenmore Square,42.348706,-71.097009,Yes,26,0.0345714032443932,236901,5.374566893958583
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Yes,15,0.0269565742794748,231706,5.364937279940831
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Yes,27,0.0158249348884611,70648,4.8490998717577085
D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Yes,17,0.0303625647437042,5599,3.748110467494984
A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Yes,21,0.1643582640812557,2166,3.3356584522893016
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Yes,19,0.055555797818759,229319,5.360440039262463
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Yes,15,0.0130290131800629,258193,5.411944463714355
D32020,Main St at Austin St,42.375603,-71.064608,Yes,11,0.0245759620645631,87728,4.943138228539405
D32036,Main St at Baldwin St,42.380857,-71.070629,Yes,19,0.0299330019451048,37016,4.56838948649184
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Yes,15,0.0219465456379223,49575,4.695262722877341
E32012,Martha Eliot Health Center,42.324173,-71.10196,Yes,16,0.0356737963872723,13231,4.121592669438407
C32063,Mass Ave T Station,42.34135616,-71.08336953,Yes,14,0.023399541337894,102908,5.012449137841196
C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Yes,13,0.0255435172562244,83622,4.92232055042531
C32050,Mattapan Library,42.2773889,-71.09325,Yes,15,0.2099845599588265,1943,3.2884728005997825
C32045,Mattapan T Stop,42.267902,-71.093641,Yes,15,0.4681972149040271,5314,3.725421550074259
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Yes,33,0.1885491887836443,42652,4.62993940053517
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Yes,15,0.2473856209150327,12240,4.087781417809542
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Yes,19,0.0537648934158268,37013,4.56835428722003
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Yes,15,0.035521087653789,20889,4.319917649895243
C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Yes,15,0.2300884955752212,678,2.831229693867064
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Yes,19,0.1150073648371284,207065,5.316106696713631
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Yes,19,0.3087432016327879,84763,4.928206319208992
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Yes,36,0.0221758272665318,369772,5.567934022275066
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Yes,15,0.0711049146043917,11476,4.059790539573961
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Yes,14,0.053632398753894,40125,4.603415045412929
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Yes,15,0.0287784467802837,48995,4.690151762003892
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Yes,13,0.0876677316293929,31300,4.495544337546448
B32061,One Beacon St,42.35847764,-71.0613513,Yes,16,0.018986063421531,24755,4.393662930667503
B32036,One Brigham Circle,42.3339227,-71.10446509,Yes,15,0.0229060208842479,90020,4.95433900860246
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Yes,19,0.3378900725935703,21214,4.326622564515655
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Yes,27,0.03017579626079,247218,5.393080088650102
A32008,Park Dr at Buswell St,42.347241,-71.105301,Yes,15,0.0453469821855889,150440,5.177363324750361
D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Yes,19,0.0458500031752079,94482,4.975349077871447
Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Yes,19,0.0305406520841931,4846,3.6853834098014873
C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Yes,19,0.0281406360186708,29779,4.473910109743431
A32050,Porzio Park,42.36411904,-71.02876782,Yes,17,0.2333584054155697,10636,4.026778328659529
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Yes,18,0.0364197715895806,133444,5.125299051518269
A32026,Purchase St at Pearl St,42.354659,-71.053181,Yes,19,0.0193322475570032,122800,5.089198366805149
A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Yes,25,0.0120978828704976,10911,4.037864555774374
C32047,Roslindale Village - South St,42.287072,-71.127754,Yes,15,0.0965437343116431,10358,4.015275906681875
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Yes,15,0.1294044278141565,6414,3.8071289555924217
E32014,Ross Playground,42.2645666,-71.1145523,Yes,19,0.5511811023622047,635,2.8027737252919755
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Yes,15,0.0328112398658686,141354,5.150308102555629
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Yes,23,0.0227457154968812,165130,5.217825980899852
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Yes,10,0.0469651031448784,16821,4.225851810818157
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Yes,26,0.0344556236299252,249074,5.396328395357229
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Yes,15,0.0385007310265384,45142,4.654580796428102
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Yes,14,0.122948312773983,19618,4.292654730197986
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Yes,15,0.021084952041706,215604,5.333656813851496
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Yes,19,0.0389944021269673,89141,4.950077501772212
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Yes,23,0.0322869419909286,167560,5.224170351689182
D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Yes,19,0.0396257567418822,7268,3.861414918635997
D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Yes,15,0.0272299896208559,49137,4.691408637630063
E32009,Shawmut T Stop,42.292917,-71.06575,Yes,19,0.1143005585140927,7699,3.8864343196289375
D32032,Silber Way,42.349496,-71.10057592,Yes,19,0.0498639529169213,166854,5.2223366224808005
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Yes,15,0.0432107597653455,139780,5.145445036137805
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Yes,15,0.0487915293880938,119283,5.076578553207025
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Yes,15,0.0300319591436876,124534,5.095287937749097
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Yes,47,0.0158956603370576,379223,5.578894669568366
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Yes,19,0.0333705810646078,118128,5.0723528510783895
C32087,Spring St at Powell St,42.27748444,-71.16341468,Yes,19,0.2237816764132553,2565,3.409087369447835
B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Yes,18,0.0197220014179216,46547,4.667891695512187
C32024,State Street at Channel Center,42.344137,-71.052608,Yes,19,0.0288033423915448,112973,5.052974661606229
D32041,Stony Brook T Stop,42.316966,-71.104374,Yes,19,0.0592069442932034,64283,4.80809613649584
D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Yes,19,0.0275367826700689,92095,4.964236052223396
D32011,Stuart St at Charles St,42.351146,-71.066289,Yes,18,0.0407227637965493,122585,5.088437331391388
D32053,Sullivan Square,42.38445226,-71.07514855,Yes,19,0.0237953155303595,26812,4.428329210721689
A32013,Surface Rd at India St,42.358155,-71.052163,Yes,19,0.0388045033457141,138386,5.141092156375883
A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Yes,27,0.0158938370389803,91482,4.961335650681859
C32064,Sydney St at Carson St,42.32039374,-71.05355408,Yes,19,0.0907518450184501,17344,4.239149264858293
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Yes,15,0.2967101179391682,4833,3.6842167951388807
C32110,Talbot Ave T Station,42.29225148,-71.07797205,Yes,19,0.1196581196581196,117,2.0681858617461617
E32011,The Dimock Center,42.31930943,-71.09639924,Yes,16,0.0326207442596991,6315,3.8003733548913496
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Yes,15,0.2369595864661654,17024,4.231061610614955
C32028,The Lawn on D,42.344792,-71.044024,Yes,19,0.0994162672905262,88054,4.944749089303522
D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Yes,18,0.0395250487963565,12296,4.0897638544916886
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Yes,19,0.0245751176933354,160162,5.204559483359148
B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Yes,18,0.0321714340802357,145222,5.162032413573791
C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Yes,19,0.0359231665906441,98655,4.994119100914937
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Yes,15,0.0243989405052974,78528,4.895024536710891
D32014,Tremont St at West St,42.354979,-71.063348,Yes,15,0.0552878136084786,185502,5.2683485963461125
C32035,Troy Boston,42.343749,-71.062256,Yes,5,0.023390861623046,61477,4.788712666322264
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Yes,19,0.0323114292400681,123919,5.093137900101099
C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Yes,19,0.2550626243708299,17086,4.232640402026943
A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Yes,24,0.0218901391843744,78026,4.892239343395671
C32029,W Broadway at D St,42.3391085,-71.0514432,Yes,20,0.0330226791915179,162131,5.209866061373863
C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Yes,17,0.0306842749602771,115173,5.061350679387878
C32102,Walnut Ave at School St,42.31242399,-71.09616905,Yes,19,0.1777930324352153,5827,3.76544501809015
D32021,Warren St at Chelsea St,42.371848,-71.060292,Yes,23,0.0502597145016644,186551,5.27079758140321
D32029,Washington St at Brock St,42.34895285,-71.16031677,Yes,15,0.1084904171008177,31671,4.500661776274517
C32005,Washington St at Lenox St,42.33509899,-71.07903779,Yes,15,0.0338345376941139,77081,4.88694734028109
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Yes,19,0.0329964513250461,48187,4.682929889073527
C32006,Washington St at Rutland St,42.3385146,-71.07404083,Yes,27,0.0235063337433919,240616,5.381324502807129
C32038,Washington St at Talbot Ave,42.290333,-71.071806,Yes,17,0.1266666666666666,5100,3.707570176097936
D32002,Washington St at Waltham St,42.34157472,-71.0689044,Yes,15,0.0201639850818128,139159,5.143511299235926
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Yes,15,0.0268795560537838,161461,5.208067637935191
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Yes,12,0.0490470508202388,89669,4.9526423264791
D32022,West End Park,42.36590788,-71.06446669,Yes,35,0.0153638684197851,41526,4.618320099624399
B32059,Whittier St Health Center,42.33286288,-71.09218862,Yes,19,0.0177466623249755,12284,4.089339807771031
D32040,Williams St at Washington St,42.306539,-71.107669,Yes,23,0.0577391513547649,33253,4.521830832336042
