businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Notch Brighton Tap Room,,525 Western,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2021-08-20 15:18:51.573+00,,148220,42.36174863,-71.14519972
Notch Brighton Tap Room,,1420 Soldiers Field,Brighton,MA,2135,Active,FS,Eating & Drinking,2021-06-28 13:10:16.953+00,6175482947,169776,42.36192063,-71.14517563
Nu Burger,,201 Brookline,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2021-05-18 17:22:54.68+00,6175106484,340960,42.34475565,-71.1014137
Nu Flav Restaurant,,1098 Blue Hill,Dorchester,MA,2124,Active,FS,Eating & Drinking,2013-04-01 16:49:01+00,7873080321,16149,42.28694957,-71.09021068
Nusr-et,,100 Arlington,Boston,MA,2116,Active,FS,Eating & Drinking,2020-09-24 12:04:46.447+00,6174578130,427471,42.34991262,-71.06945165
Nutter  McClennen & Fish LLP,,155 SEAPORT,BOSTON,MA,2110,Active,FS,Eating & Drinking,2007-08-14 19:16:23+00,6172267525,,42.34966983,-71.04280897
O YA RESTAURANT,,9 East,Boston,MA,2111,Active,FS,Eating & Drinking,2007-03-14 21:11:01+00,6176549900,50799,42.35134952,-71.05694046
OASIS GUEST HOUSE,,20 Edgerly,Boston,MA,2115,Active,FS,Eating & Drinking,2023-11-17 16:35:31.64+00,6172672262,51170,42.34585956,-71.08776054
Oasis Restaurant,,33 Hancock,Dorchester,MA,2125,Active,FS,Eating & Drinking,2019-08-08 18:33:09.51+00,6177408288,68926,42.31436953,-71.06585056
Obosa Foods,,146 Belgrade,Roslindale,MA,2131,Active,FS,Eating & Drinking,2019-11-20 17:18:08.613+00,6173727676,156858,42.28612231,-71.13673187
O'Brien's Pub,,1 Harvard,Allston,MA,2134,Active,FS,Eating & Drinking,2006-12-07 18:34:04+00,6177826245,156445,42.3552615,-71.13290137
Ocean Prime,,100 Pier 4,Boston,MA,2210,Active,FS,Eating & Drinking,2015-04-06 17:50:57.73+00,6142808011,355594,42.35130006,-71.0431909
O'Cheese,,261 North,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,2023-10-11 16:18:49.827+00,8608904458,103593,42.36372951,-71.05181042
ODYSSEY CRUISES,,60 Rowes,Boston,MA,2110,Active,FS,Eating & Drinking,2006-12-07 18:36:38+00,6174394990,156112,42.35587685,-71.04992696
