X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.029755286,42.382296976,43736,Cherry/Plum,Prunus species,1,6-12in,8.2,--,Boston,East Boston,American Legion Playground,-71.02975,42.3823,334
-71.029830388,42.382293014,43737,Honeylocust,Gleditsia triacanthos,1,6-12in,8.4,--,Boston,East Boston,American Legion Playground,-71.02983,42.38229,335
-71.029921583,42.382291032,43738,Honeylocust,Gleditsia triacanthos,1,6-12in,8.6,--,Boston,East Boston,American Legion Playground,-71.02992,42.38229,336
-71.030007414,42.382283107,43739,Honeylocust,Gleditsia triacanthos,1,6-12in,8.9,--,Boston,East Boston,American Legion Playground,-71.03001,42.38228,337
-71.03013616,42.382251407,43740,Cherry/Plum,Prunus species,1,6-12in,9,--,Boston,East Boston,American Legion Playground,-71.03014,42.38225,338
-71.071619932,42.319770012,43742,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07162,42.31977,339
-71.071472411,42.31979976,43743,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07147,42.3198,340
-71.071430837,42.319743238,43744,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07143,42.31974,341
-71.071442907,42.319976267,43745,"Birch, River",Betula nigra,3,6-12in,10,--,Boston,Roxbury,Mary Hannon Park,-71.07144,42.31998,342
-71.071257834,42.32000899,43746,"Birch, River",Betula nigra,3,6-12in,10,--,Boston,Roxbury,Mary Hannon Park,-71.07126,42.32001,343
-71.071397309,42.319930653,43747,"Pear, Callery",Pyrus calleryana,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.0714,42.31993,344
-71.071359758,42.319945527,43748,"Pear, Callery",Pyrus calleryana,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07136,42.31995,345
-71.071328913,42.319964367,43749,"Pear, Callery",Pyrus calleryana,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07133,42.31997,346
-71.072164421,42.319514176,43750,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,24-30in,24,--,Boston,Roxbury,Mary Hannon Park,-71.07217,42.31952,347
-71.072093342,42.319578631,43751,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,Roxbury,Mary Hannon Park,-71.07209,42.31958,348
-71.072016899,42.31962722,43752,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,10,--,Boston,Roxbury,Mary Hannon Park,-71.07201,42.31963,349
-71.071831827,42.319745222,43753,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,Roxbury,Mary Hannon Park,-71.07183,42.31974,350
-71.071776842,42.319785878,43754,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,Roxbury,Mary Hannon Park,-71.07178,42.31979,351
-71.071707104,42.319833475,43755,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,16,--,Boston,Roxbury,Mary Hannon Park,-71.07171,42.31983,352
-71.071648096,42.319869173,43756,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,Roxbury,Mary Hannon Park,-71.07165,42.31987,353
