,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
128,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Yes,33,0.18854918878364438,42652,4.62993940053517
129,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Yes,15,0.2473856209150327,12240,4.087781417809542
130,D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Yes,19,0.053764893415826874,37013,4.56835428722003
131,B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Yes,15,0.03552108765378908,20889,4.319917649895243
132,C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Yes,15,0.23008849557522124,678,2.8312296938670634
133,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Yes,19,0.11500736483712844,207065,5.316106696713631
134,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Yes,19,0.3087432016327879,84763,4.928206319208992
135,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Yes,36,0.02217582726653181,369772,5.567934022275066
136,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Yes,15,0.07110491460439178,11476,4.059790539573961
137,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Yes,14,0.053632398753894084,40125,4.603415045412929
138,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Yes,15,0.0287784467802837,48995,4.690151762003892
139,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Yes,13,0.08766773162939297,31300,4.495544337546448
140,B32061,One Beacon St,42.35847764,-71.0613513,Yes,16,0.018986063421531005,24755,4.393662930667503
141,B32036,One Brigham Circle,42.3339227,-71.10446509,Yes,15,0.022906020884247945,90020,4.95433900860246
142,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Yes,19,0.3378900725935703,21214,4.326622564515655
143,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Yes,27,0.03017579626079007,247218,5.393080088650102
144,A32008,Park Dr at Buswell St,42.347241,-71.105301,Yes,15,0.04534698218558894,150440,5.177363324750361
145,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Yes,19,0.04585000317520797,94482,4.975349077871447
146,Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Yes,19,0.03054065208419315,4846,3.6853834098014873
147,C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Yes,19,0.028140636018670874,29779,4.473910109743431
148,A32050,Porzio Park,42.36411904,-71.02876782,Yes,17,0.23335840541556976,10636,4.026778328659529
149,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Yes,18,0.036419771589580645,133444,5.125299051518269
150,A32026,Purchase St at Pearl St,42.354659,-71.053181,Yes,19,0.019332247557003256,122800,5.089198366805149
151,A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Yes,25,0.012097882870497663,10911,4.037864555774374
152,C32047,Roslindale Village - South St,42.287072,-71.127754,Yes,15,0.09654373431164318,10358,4.015275906681875
153,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Yes,15,0.12940442781415654,6414,3.8071289555924217
154,E32014,Ross Playground,42.2645666,-71.1145523,Yes,19,0.5511811023622047,635,2.8027737252919755
