SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj11_id,obj12_id,obj13_id,obj14_id,obj15_id,obj16_id,obj17_id,obj18_id,obj19_id,obj20_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,obj11_dist,obj12_dist,obj13_dist,obj14_dist,obj15_dist,obj16_dist,obj17_dist,obj18_dist,obj19_dist,obj20_dist
479,Commercial Point,42.30190246800004,-71.04800656649996,0,C32108,C32033,C32041,C32014,B32031,C32066,E32009,C32090,C32013,C32064,C32040,C32062,B32029,C32038,C32055,C32111,C23109,C32037,C32110,B32028,0.5257173821324018,0.9628129173454419,1.0244214802282345,1.3637071319997351,1.5186754621439063,1.5438390156602761,1.6824749555307015,1.7492412060713867,1.9223328083445743,1.9662872336445307,2.0284908559579136,2.115073468609934,2.1860709501558118,2.258484788449972,2.396151737330379,2.467936159535207,2.533796488111034,2.567614348195313,2.6234854993115637,2.7759811155832548
480,Charles River Reservation,42.36203053450007,-71.11907491949995,20,A32006,D32017,A32052,A32003,D32016,D32032,B32037,B32060,B32010,D32001,A32005,D32024,A32002,D32022,A32019,A32025,B32058,D32045,D32007,A32008,0.0,0.0,0.020422408369553183,0.11681225440754163,0.1188307596807598,0.14610877079636247,0.14952699585676923,0.159099486343205,0.2069374927748282,0.23426177507458926,0.2361943687937382,0.23979598326602863,0.31487311438577864,0.3378799916710536,0.3583765505153221,0.36077792527107766,0.3810839185674003,0.4099893067487519,0.4223232688285342,0.4316974951783913
481,Forbes Street Playground,42.32056582800004,-71.10604534149996,2,E32003,D32041,E32012,E32006,E32011,E32004,E32007,E32005,C32102,B32023,B32027,B32063,C32001,B32036,E32001,D32040,B32013,B32055,C32027,B32059,0.3268852388769191,0.41328689917027567,0.5092478670158315,0.5408548367706718,0.7931565909698272,0.8052592634982672,0.8698114448187451,1.1011425115469573,1.2068941681729322,1.2084020253988113,1.2177941546403204,1.4538464126623338,1.4670794045217106,1.476093910958873,1.4801053659659207,1.5505512914338095,1.5571259715401033,1.6274508121299762,1.6417462111707786,1.7663283555348737
482,Union Park Street Playground,42.33954175850005,-71.06554342849998,3,C32093,D32002,C32061,C32035,C32057,C32006,C32053,C32000,C32025,C32060,C32009,A32009,D32048,C32077,D32043,C32029,C32024,C32005,D32049,D32059,0.3157499393999128,0.33076254287341045,0.39317489255302773,0.5200999597754183,0.6241674934984637,0.6756282260789594,0.7015587093767366,0.7024473992430041,0.7120168496882079,0.7656692547652727,0.8096611813074795,0.9253160988234082,0.974741752537065,1.0453002496421957,1.1130359155657517,1.131571208083542,1.1509320333326156,1.180871600946427,1.2182824699978758,1.2544995303931523
483,Porzio Park,42.36452021450003,-71.02895040249996,2,A32050,A32044,A32049,A32057,A32030,A32031,A32032,A32036,A32033,A32041,A32051,A32000,D32006,B32004,B32007,C32032,D32008,C32034,C32036,B32014,0.0005453716700864746,0.43874035418392376,0.7873724151178111,0.8773242263233461,0.9569268036402192,0.9681597405872461,1.0161941701917483,1.3199402919449823,1.3771360858684991,1.394084911937722,1.5508258194962463,1.6822890338711605,1.7268807210931014,1.7348348635975837,1.8248610993890688,1.8705859773399498,1.8711472628496775,1.8898309053266902,1.9211134237705114,1.9395545895333017
484,Ross Playground,42.26411925900007,-71.11293523699996,1,E32014,C32106,E32013,C32104,Z32999,C32045,C32079,C32044,C32050,C32105,C32046,C32047,C32092,C32094,C32059,C32103,C32048,C32089,C32043,C32099,0.0,0.5224387533413949,0.9911874903674502,1.2015953417000382,1.337370778996477,1.5261006559767627,1.5270439917442107,1.856182025851769,2.0713454185272213,2.2707106235133097,2.6389803302164405,2.7014752665689428,2.894672981981029,2.9770129660025817,3.0047466611490807,3.042667907857716,3.106567098372831,3.4133766833137296,3.8566921757136337,3.9072332689970493
485,Mt. Hope Cemetery,42.28249934250008,-71.10667873449998,2,C32105,C32079,C32050,C32094,C32092,C32044,Z32999,C32106,C32048,C32046,C32047,C32089,E32014,C32099,C32045,C32103,C32043,E32010,C32059,C32110,0.11754458142651232,0.29176673112784773,0.7645987485669079,0.7976726936109392,0.8368481543846047,0.9797786875398194,1.2483118951083476,1.2624065684863681,1.311885599711171,1.355909291493872,1.356793879612912,1.3594225458191158,1.5449114571834295,1.6166831140629851,1.633350019559821,1.658470844105039,1.7065124687632318,1.742221595380596,2.024637320752083,2.113429548960995
486,Calvary Cemetery,42.27709399900007,-71.11139009349995,1,C32079,C32105,C32106,Z32999,C32050,E32014,C32044,C32046,C32047,C32045,C32094,C32048,C32092,C32089,C32059,C32103,E32013,E32010,C32099,C32104,0.1606324154117725,0.6835537237667034,1.0682595213889612,1.0915990014364962,1.1868466404494635,1.1949204536364968,1.2074458346926846,1.4094157650625674,1.438926351318758,1.479580254120827,1.5627933005750605,1.6017947674646766,1.6119104543057041,1.8612960906949747,1.9986647279922296,2.2518343979562583,2.254579822757547,2.3894112675706696,2.451769935102962,2.4533589882883247
487,New Calvary Cemetery,42.27924550850005,-71.10298506199996,0,C32050,C32105,C32044,C32079,C32092,C32094,Z32999,C32045,C32106,C32103,E32014,C32043,C32099,C32048,C32046,C32047,C32089,C32110,C32055,E32010,0.5599737717901805,0.6906565336396483,0.692098829563214,0.7795569845116317,0.7894057413016672,0.8333111397311884,0.8909964181484586,1.256496164195419,1.4905604584696739,1.5372726653631552,1.5409930035826018,1.7192927953916948,1.7727991264184633,1.8735782433535417,1.9123867235606724,1.9175788316903275,1.9291017900731227,2.0649491103063324,2.348382059954927,2.352631980747896
488,Savin Hill Park,42.31077845050007,-71.04893953549995,1,C32033,C32108,C32090,C32014,C32013,C32064,B32031,C32041,B32029,C32052,C32022,C32066,E32009,C32111,C32037,B32028,C32015,C32016,B32022,C32017,0.28856174022265546,0.7804147916464358,0.8341942899289732,0.9148303919852653,0.990021451714389,1.0308243846348801,1.2367639381742137,1.437704772506259,1.8534384538360662,2.0748850449698057,2.1526986327581543,2.2739425357800815,2.2887172133486566,2.414669626560637,2.470576531315625,2.5281157556153624,2.583496716402892,2.7057386569793023,2.7403336784542924,2.7860289282996185
489,Southwest Corridor Park,42.32469247550006,-71.09517505549996,20,E32006,C32063,C32001,D32041,B32002,E32005,B32059,C32003,C32004,E32010,D32040,E32012,C32077,C32056,B32064,D32061,C32007,D32005,D32052,B32005,0.0,0.0,0.0,0.002685744433749364,0.004326465992201319,0.012854928481809786,0.02963575112702996,0.07202258467949241,0.10022107249696441,0.11796946941497359,0.13811596387795114,0.1398813275962447,0.15217331830718275,0.17539314960291585,0.18216794395857144,0.18556057500842058,0.2023375558169898,0.2886713048749763,0.29639244136998955,0.3029922211722307
490,Orton Field,42.338636805500045,-71.05327651349995,1,C32029,C32024,C32053,C32016,C32009,C32035,C32052,C32028,C32057,C32091,C32025,D32018,C32017,C32061,D32002,C32093,D32043,C32107,B32014,D32015,0.100811024887999,0.5611998294919546,0.583032787907551,0.608807791390194,0.6410414378075413,0.8900209313194908,0.9087010583498605,0.9719910189868155,1.0953128714387095,1.0992713887316943,1.1059775668900542,1.1562597714484153,1.1862253990201388,1.25236561122337,1.2735770383271197,1.3014088147185874,1.3544540841304673,1.4191855327885021,1.430895760657341,1.4490175802530998
491,Paul Gore Street Park,42.31990996250005,-71.10791041299996,2,E32003,D32041,E32012,E32006,E32007,E32004,E32011,E32005,C32102,B32027,E32001,B32023,D32040,B32036,B32063,C32001,B32013,D32052,C32027,B32055,0.21992414891931583,0.40655694578414153,0.6523695350048725,0.6865381714828518,0.8490204147013769,0.8623047235272672,0.910235510541054,1.0013175157021565,1.2432953720576074,1.3180604617533267,1.322734336121607,1.342016346330215,1.4490329787224794,1.550128265241266,1.557663494262949,1.6076763728934118,1.6333577486914117,1.6345801384445058,1.680214184178235,1.7740235113764307
492,Allen Park,42.30811214400006,-71.06321584599996,1,B32031,C32033,B32029,C32108,C32041,C32111,C32037,B32028,C32064,C32013,E32009,C32066,C32090,C32030,B32022,C32022,C32038,C32015,C32110,C32014,0.12602489838876815,0.7615539434586855,0.7671946275938761,0.8339688711877885,0.9137456943568609,1.321686860392998,1.3651519022317657,1.4198969437155817,1.519922399925016,1.6211355919653465,1.659556232302543,1.7757000319213305,1.8342539137346707,1.8618538252635257,1.8679333136564362,2.031813942064494,2.065238441413124,2.112007188770408,2.116160701582878,2.199132378275284
493,Boston Nature Center_Visitor Ctr,42.28825122150008,-71.10129818449997,1,C32094,C32105,C32092,C32099,C32043,C32050,C32089,C32044,C32079,C32048,E32010,C32110,C32103,Z32999,D32040,C32030,C32047,C32046,D32052,C32045,0.46605834208492014,0.6913898218458713,0.8287655836949765,1.1965462873715587,1.3016560384271887,1.320995572713048,1.4143926791012702,1.5849224758822076,1.5924289674712488,1.644440547772592,1.6882624535180746,1.9140133793138374,1.9679308229413615,2.0029713106722924,2.0294064053597602,2.082824508664141,2.135682782731476,2.181778572113275,2.229117526002884,2.2979287229893113
494,Boston Nature Center,42.28835244950005,-71.10071009599997,2,C32094,C32105,C32092,C32099,C32043,C32050,C32089,C32079,C32048,C32110,C32044,E32010,C32030,C32103,C32047,C32046,Z32999,C32038,D32040,C32055,0.06870802358422191,0.3368369620152266,0.5190116571662016,0.7835501616453718,0.8163245914597368,1.1727701984267425,1.2200796951772126,1.2978745794199624,1.337038690340386,1.4313936690544073,1.4518507554138531,1.577625883265583,1.6580059417301638,1.7110385747705816,1.7577749378084127,1.7999028779011064,1.8433998708677084,1.9116243173625669,1.9135374385913622,1.98349310002847
