SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
93,Iacono/Readville Playground,42.23958859400005,-71.13485287549994,7.0,51242.0,51251.0,51250.0,51249.0,51248.0,51246.0,51245.0,51243.0,51180.0,51179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024165289146103539,0.022819942641972037,0.02320662705784283
94,Camp Meigs,42.23481143600003,-71.13188803599996,1.0,51283.0,51147.0,51144.0,51296.0,51274.0,51282.0,51244.0,51264.0,51275.0,51270.0,0.0,0.058120193365212756,0.12225708740473244,0.17225480359545634,0.2076755218268666,0.2091482513721639,0.21788380973891816,0.22216066804458404,0.22403314418431403,0.22600994067927002
95,Jeremiah Hurley Memorial Park,42.237452354000055,-71.13236031549997,1.0,51267.0,51299.0,51270.0,51275.0,51244.0,51247.0,51282.0,51297.0,51264.0,51254.0,0.0,0.002369246161206732,0.003850486913604279,0.004149305410061394,0.014648483500734073,0.01703740749793588,0.017387756817923095,0.018989635039719944,0.028443886793667963,0.03803342591993151
96,Stony Brook Recreation Complex,42.248709621000046,-71.13589056149993,10.0,51474.0,51452.0,51451.0,51440.0,51439.0,51438.0,51437.0,51436.0,51453.0,51466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Williams Square,42.24605776100006,-71.11491716649996,0.0,62675.0,54990.0,62676.0,62667.0,51431.0,62669.0,62674.0,62670.0,62671.0,62672.0,0.24874538083751302,0.25047974760204733,0.2767558252241727,0.2899639226635901,0.4611897602122347,0.47285823625427464,0.47416467345008745,0.4754867710730307,0.47783440012107264,0.4804569232105009
98,Dana Avenue Urban Wild I,42.25223478400005,-71.12189599549998,0.0,51846.0,51847.0,51806.0,51966.0,51817.0,51807.0,51818.0,51788.0,51874.0,51787.0,0.020190377796736506,0.025151437809157025,0.03489636170199253,0.0353124610278328,0.05420167314122022,0.06523382663915786,0.07131012765455368,0.07720061021925013,0.08086527636699178,0.08633003157865317
99,Mother Brook Reservation,42.24568050350007,-71.13881800249999,6.0,51489.0,51486.0,51480.0,51483.0,51482.0,51481.0,51487.0,51488.0,51453.0,51451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031496421726266683,0.0012845749941393135,0.01675873045608898,0.01778196851934147
100,Mission Hill Playground,42.33308685750004,-71.09918796599996,8.0,47977.0,47744.0,47756.0,47745.0,47747.0,47746.0,47763.0,47764.0,34315.0,34316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014530871745525283,0.00177558989524989
101,Gibbons Playground,42.33117652450005,-71.09838318299995,0.0,47788.0,47768.0,47791.0,47766.0,47787.0,47786.0,47752.0,47960.0,47785.0,47751.0,0.0012503173860854925,0.0018621996752241615,0.00241397818690412,0.012454101568264852,0.016207051584287188,0.022715813046028814,0.029238037511747497,0.037103352740116,0.041298741053120126,0.04913407334090447
102,Mozart Street Playground,42.322382053500064,-71.10449718399994,10.0,46217.0,46228.0,71365.0,44543.0,46488.0,46484.0,44544.0,44545.0,46216.0,46218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Beecher Street Play Area,42.31820093000008,-71.10689273999995,1.0,44046.0,44017.0,44016.0,44018.0,44015.0,44019.0,44009.0,44014.0,44006.0,72088.0,0.0,0.008569633111831279,0.01088691372726752,0.017319934469554855,0.029530590689817206,0.03325351476429798,0.04616060216787214,0.04872809576420849,0.050619466210664446,0.05156695853653967
104,Lawrence Farm,42.30377797550005,-71.13665300849996,1.0,54317.0,54329.0,54328.0,54327.0,54494.0,54326.0,54318.0,54324.0,54493.0,54323.0,0.0,0.0024640586374873727,0.0359358065728502,0.05478401789794049,0.0879490668047842,0.10182634741315832,0.10568049299469896,0.107885624337995,0.11503461272345514,0.11847347192278311
105,Soldier's Monument,42.30944218100007,-71.11584899299996,0.0,64388.0,64378.0,64374.0,64372.0,72078.0,64377.0,64371.0,64369.0,64373.0,64370.0,0.0003481282550340129,0.0005081875136129833,0.0006471639497395781,0.0009492020148579342,0.0015288889375372644,0.009803005169002383,0.014431701588093971,0.014450274871485458,0.017640835070862608,0.01881157368711329
106,English H.S. Athletic Fields,42.307208223500055,-71.10790310799996,10.0,64578.0,64577.0,64587.0,64460.0,64586.0,64603.0,64596.0,64585.0,64615.0,64576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Johnson Park II,42.311164496500055,-71.10749783199995,3.0,64488.0,42580.0,42581.0,67665.0,67650.0,67647.0,67664.0,42579.0,64487.0,42600.0,0.0,0.0,0.0,0.0003868595988600075,0.000556436355603503,0.0011814028742183733,0.0029976604153851174,0.003294237519029365,0.004598641347300879,0.012180859197704405
108,Johnson Park I,42.31160160300004,-71.10793963899994,10.0,42719.0,42716.0,42717.0,42579.0,42718.0,42578.0,42733.0,42577.0,67663.0,42715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Mahoney Square,42.32192037500008,-71.10988524449996,0.0,73939.0,44280.0,44274.0,44276.0,44275.0,44279.0,73938.0,44278.0,44281.0,44289.0,0.004225032169345013,0.007127361676856731,0.0116567878731946,0.012598549420211318,0.012854160466495023,0.015674110374408187,0.016082311702475736,0.016950429922525385,0.022178117219472437,0.026477739829489814
110,Back of the Hill Urban Wild,42.329838694000046,-71.11007305099997,0.0,47223.0,47205.0,47168.0,47226.0,47225.0,47224.0,47393.0,47167.0,47238.0,47166.0,0.0007387601989953758,0.001037586202278284,0.0010864781734416192,0.001146231359380923,0.0012117220392239222,0.0013950301344406175,0.002130564521867903,0.002443542934618391,0.002483195324280701,0.0028274215737019714
111,Thetford/Evans Playground,42.28323892950005,-71.07779488749995,10.0,60393.0,60389.0,60390.0,60391.0,60392.0,60482.0,60394.0,60396.0,60388.0,60397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Woodhaven,42.27193283450004,-71.09607649399996,0.0,62171.0,72962.0,62352.0,62170.0,62348.0,62169.0,62172.0,62304.0,62168.0,62320.0,0.1309813056777494,0.132085999291581,0.13208938375925625,0.13295380342337862,0.1332296798405214,0.1374356612907349,0.13779498057402528,0.14307541064947576,0.14309952161110356,0.14332039732062266
113,Gladeside I,42.27436287200004,-71.08710851799995,0.0,72892.0,72893.0,72901.0,72895.0,72894.0,72897.0,72898.0,72883.0,72903.0,72891.0,0.03234816658921309,0.032413886191425656,0.032462181932163464,0.032661494629994486,0.03266190065665798,0.03271333434197696,0.03276805050495047,0.03329788315576209,0.03476871920023034,0.03690152388931678
114,Willowwood Rock,42.285474469000064,-71.08607444599994,0.0,59306.0,59309.0,59310.0,59307.0,59308.0,59305.0,59311.0,72323.0,59304.0,59294.0,0.0015385620483098746,0.001605340409495915,0.010567974346779495,0.010673192817203912,0.018343662058473265,0.01941148790791728,0.020253186335064614,0.032527856155538645,0.03321092522910468,0.034573815065045616
115,Msgr. Francis A. Ryan Park,42.270017307000046,-71.08545282099996,10.0,62107.0,62117.0,62116.0,62115.0,62114.0,62112.0,62111.0,62110.0,62106.0,62105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Walker Playground,42.27800456600005,-71.08952794399997,10.0,60864.0,60855.0,60854.0,61374.0,61522.0,60809.0,61536.0,61535.0,61538.0,61539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Kennedy Playground,42.26535889850004,-71.09607414599995,0.0,73230.0,73229.0,62457.0,73231.0,73233.0,73232.0,73234.0,62462.0,62461.0,62466.0,0.010504528682885874,0.016484793841153738,0.02016730891342363,0.022833408474219007,0.056310884801328266,0.08191394514611933,0.10726651456747184,0.11732369604844743,0.12039373512169224,0.12253358120360298
118,Forest Hills Cemetery,42.29444444150008,-71.10566937349998,1.0,72233.0,72232.0,56246.0,55952.0,57983.0,55961.0,55968.0,55955.0,55967.0,55957.0,0.0,0.0002509907136373984,0.0006981786073695631,0.004760570583573756,0.008121620933941143,0.010560138272065069,0.010670452086823018,0.010674859696649719,0.010686764849020243,0.010741820177633934
119,Walter Street Cemetery,42.29317381550004,-71.12988359449997,0.0,53766.0,53765.0,53764.0,72125.0,53767.0,53777.0,53769.0,53768.0,53763.0,53776.0,0.12645824565217834,0.1469710010697388,0.17530691025306294,0.1833228239825893,0.18889793779307903,0.19388318658308004,0.20039188942183622,0.20174365709586684,0.2085955712251292,0.21764339096604668
120,Pagel Playground,42.28917269400006,-71.11881044049994,10.0,53885.0,67842.0,67843.0,67844.0,53886.0,67838.0,53369.0,67837.0,53823.0,67840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Parkman Playground,42.29596792750005,-71.11311762499994,7.0,56075.0,72231.0,72230.0,72229.0,56073.0,56074.0,56076.0,56072.0,56089.0,56104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014164124369194667,0.0014343798288015315,0.001523040087912787
