,SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,Weighted Roundtrip Ratio,Daily Roundtrips
175,176,Mother's Rest at Four Corners,42.29763808900006,-71.07199465649995,0,E32009,C32110,C32038,C32111,C32037,C32041,C32066,C32055,B32031,C32030,0.6813868538755378,0.7185641395319557,0.759563016459982,0.761893683169356,0.8971076906171068,0.9287079019708898,0.9643341880946752,1.092976762950801,1.2165919374392782,1.243912628598506,0.0,0.0
176,177,Ripley Playground,42.29938254150005,-71.07608837349997,1,C32111,C32037,C32110,C32030,B32028,C32038,C32043,E32009,B32029,C32041,0.4065507158071014,0.5351978537204399,0.7508925305333908,0.8382330818304528,0.9747132724769484,1.0081905975391807,1.0304795708012129,1.0600695001324691,1.1043203261376875,1.2398071713789487,0.0509554140127388,0.002411091018685953
177,178,Garvey Playground,42.28804907700007,-71.04557592699996,0,C32040,C32066,C23109,C32062,E32009,C32041,C32108,C32055,C32038,C32033,0.860638086155891,1.3542373952658953,1.451706860534982,1.4559775947775082,1.6442828361231931,1.701874145151821,1.7820998482836583,2.005353987308764,2.07302464680795,2.502993140051382,0.0,0.0
178,179,Ventura Playground,42.27063940500005,-71.06242139649996,0,C23109,C32040,C32062,C32103,C32055,C32038,C32066,E32009,C32045,C32044,0.9336275539655748,1.4262827332200738,1.6114347633883916,1.6927388816010995,1.942099331583247,2.269437275183176,2.270103796055712,2.4240305152341914,2.5401584412411484,2.5722354293346408,0.0,0.0
179,180,Geneva Cliffs I,42.30381659150007,-71.07277068049996,2,C32111,C32037,B32029,B32031,B32028,C32030,C32041,E32009,C32110,C32038,0.390040632332548,0.4799133380092553,0.5814432361383256,0.7234611840324026,0.7745294240979439,0.9759146462089984,1.0338987191530349,1.2831529369720895,1.2883322892308435,1.443749306850268,0.09107768390686173,0.13321277878239904
180,181,Hayes Park,42.343761529000034,-71.07548760649996,5,C32077,C32060,A32009,C32003,C32000,C32007,D32002,C32006,C32004,D32049,0.1164067164276596,0.1504006877095889,0.2683971885154028,0.4683160654139522,0.4989919553674898,0.5020314685267633,0.5711557585785226,0.575960563387615,0.5807919067917413,0.6661285397200072,0.024940970408469234,5.338758288125366
181,182,Peters Park II,42.34307874050006,-71.06706343299996,6,D32002,C32057,C32000,C32035,C32025,C32093,C32060,D32048,C32061,C32006,0.1300149249569142,0.2603784814581657,0.3242393230251595,0.3284975432840964,0.3515136446412137,0.3913546566908602,0.5216373112815577,0.5358093273546285,0.6462458115556313,0.6710750055565909,0.022231579480587665,4.2326702833031815
182,183,Peters Park I,42.34326168250004,-71.06739187049996,7,D32002,C32000,C32057,C32035,C32025,C32093,C32060,D32048,C32061,C32006,0.1295671701734431,0.2407625136257436,0.2633371786788627,0.3379942648398415,0.3536559947121045,0.3949977673633408,0.477283329820267,0.5158031646683744,0.6525485351733211,0.6558645691469739,0.022471214036905662,4.810126582278466
183,184,Rotch Playground,42.34164598700005,-71.06413830049996,6,C32035,D32002,C32057,C32025,C32053,C32093,C32000,C32009,C32061,D32048,0.2330284968578306,0.3182809951055811,0.3355984459709345,0.4223211570289342,0.4513179721733525,0.4670016398050947,0.5400850252732283,0.5444818015124692,0.6309024340756337,0.7039621145268111,0.021650275510915754,3.2742616033755185
184,185,Ringgold Park,42.34328005750007,-71.07012553899995,4,D32002,C32000,C32060,C32093,C32077,C32057,A32009,C32006,C32025,C32035,0.192407877220485,0.2074283388579958,0.3158823832841057,0.423850385521501,0.5236566513526433,0.5324355751927509,0.5638432112772161,0.5874379094233076,0.6139834311493374,0.621129221025476,0.023177642049322243,2.97588908981313
185,186,Blackstone Square,42.33967486550006,-71.07357072799996,6,C32006,C32093,C32060,A32009,D32002,C32061,C32077,C32004,C32056,C32005,0.0660289299082505,0.249838258634483,0.2574783817781051,0.2721784028183567,0.3770084067659653,0.4584860317937318,0.5530551383317489,0.6063965547848978,0.6133431722377032,0.6220685145080196,0.023749329207931588,4.895117540687148
186,187,Franklin Square,42.33882152100006,-71.07253165799997,6,C32006,C32093,C32061,D32002,C32060,A32009,C32005,D32059,C32077,C32056,0.0622875092692996,0.1630657859428002,0.3307506207199761,0.372278439516287,0.3738904289197501,0.3996087202743211,0.6211067851824479,0.663011187509224,0.6757795540257568,0.6848962273792638,0.023749329207931588,4.895117540687148
187,188,South End South Burying Ground,42.337971208000056,-71.07395798649995,6,C32006,C32093,C32061,A32009,C32060,C32005,D32002,D32059,C32056,D32061,0.0112362468499902,0.3275994739558799,0.381105858247463,0.3990599735558855,0.4460925263546685,0.4906585338702731,0.5245833481883709,0.536136020172456,0.5881260562450132,0.6589712616089884,0.02580188641316141,4.835443037974673
188,189,Worcester Square,42.33670725800005,-71.07474853649995,6,C32006,C32005,C32061,D32059,C32093,A32009,C32056,D32061,C32060,B32026,0.1835138609714903,0.3802258185782418,0.4429229813445157,0.4468756093182187,0.484124877934667,0.4958371026874847,0.5590651227779684,0.6104338522055215,0.614517926130962,0.677330738104877,0.026184486563558537,4.344786015672083
189,190,Carter Playground,42.33887758000003,-71.08469507799995,9,C32063,C32056,D32061,C32004,B32002,B32062,B32005,B32064,D32059,Z32997,0.1782526633245445,0.1810055935249868,0.1912966712388859,0.2270544312037861,0.2566196539883767,0.3904884261278412,0.4331806721347478,0.4339547581226631,0.4552551873922315,0.5548585684523989,0.035270301254340934,11.405063291139225
