id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
49,"Melnea Cass, Frieda Garcia, Judy Norsigian and Kip Tiernan",Mayor's Mural Crew and Heidi Schork,42.33299558778622,-71.07872722286967,B32026,0.20459929602777854,C32005,0.23504325877882748,D32059,0.3447448879696081,B32017,0.5495410608735506,D32061,0.6002432347205708
50,Nature Walk / Flora and Fauna,Mayor's Mural Crew and Heidi Schork,42.28673275324676,-71.10796693146862,C32105,0.1795157942022764,C32094,1.0952569148480005,C32079,1.1464303235594664,C32089,1.2309608633252676,C32048,1.2746116337938367
51,Frederick Douglass Square Mural,Mayor's Mural Crew and Heidi Schork,42.337186,-71.083750,D32061,0.10877927201049377,C32056,0.2189902834140858,D32059,0.31498232454239106,B32002,0.3644004575190873,C32004,0.44171603549290994
52,History of Fort Hill II,Mayor's Mural Crew and Gregg Bernstein,42.327372850233274,-71.09654546780847,C32001,0.4382370862484824,E32012,0.5705457051182993,B32055,0.5753956791647082,E32006,0.5755691469390555,B32059,0.707703276861102
53,"For Giving, For Getting",Matthew Zaremba,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
54,Hard in the Paint,Maria Molteni,42.29225207015424,-71.08020437517443,C32110,0.18410116047288125,C32043,0.6256836642712684,C32038,0.7246903895861339,C32055,0.9260693853839338,C32099,1.0884617366407392
55,Boston Strong,Marcelo Ment,42.29151678132504,-71.06257494633854,C32066,0.022353528439839166,E32009,0.304558375884851,C32062,0.6594809800263656,C32038,0.7725786428193506,C32055,0.841846143705451
56,Mystery Map,Liz LaManche,42.37937708522687,-71.02974680215615,A32051,0.16610090954691809,A32032,0.6359955173884626,A32041,0.8914429445627774,A32049,1.089346005610607,A32036,1.147143330874402
57,Play and Yay!,"Lisa Jeanne Graf, Bea Graf",42.31575228046447,-71.08811437332238,B32027,0.3407163065445527,B32022,0.5244463563446855,B32023,0.682763331616567,C32027,0.74336470162273,C32102,0.7600238671154145
58,Untitled (Tobin School),Lena McCarthy,42.33310247231317,-71.0983383021577,B32063,0.2406118642598375,C32001,0.3369825080100819,B32033,0.38937275751430495,B32013,0.5026064111082933,B32059,0.5075392014983976
59,Greetings from Columbia Point,Laura DeDonato Wiatt,42.31801890906809,-71.04318710215821,C32090,0.20285062143398586,C32013,0.7075626448034447,C32014,0.8512019185046085,C32064,0.894393230100172,C32033,1.2079513228568377
60,"Puzzle Me, Allston-Brighton!",Kit Collins,42.362729230979774,-71.13077090370788,A32019,0.27470956973701355,A32040,0.3296132762408739,A32011,0.5201315115110963,A32005,0.5907419101045107,A32052,0.7989020110175528
61,The Hidden Dragon,Kenji Chai,42.33204691212508,-71.08996914131735,B32059,0.2041489649010058,B32055,0.2874096037946382,B32064,0.3051227123970802,C32001,0.43931725936759386,B32002,0.4940882823540915
62,Faces of Codman Square,K Jameel Parker,42.291220370836754,-71.07210350703862,C32038,0.10157614806114627,C32055,0.436428789764952,C32110,0.49735368281852427,E32009,0.5568401959757823,C32066,0.7881019790829797
63,A Message to the Future,"Julia Csekö, in collaboration with Eddie Maisonet ",42.30590172362457,-71.1098545846916,D32040,0.19361142567984974,D32052,0.4829693854207516,E32005,0.5593575053406508,E32001,0.577865109411748,E32010,0.6611653294129515
64,The Calling,"Julia ""Julz"" Roth and Cedric ""Vise 1"" Douglas",42.36424862943932,-71.03315954373655,A32050,0.3620618572383758,A32044,0.38830871134579703,A32057,0.6093779097678684,A32049,0.730864117831488,A32030,0.7468787179989178
65,Fight the Rise,Josie Morway,42.363954775302574,-71.03234706886144,A32050,0.2954113533190179,A32044,0.42879238283073356,A32057,0.682647425723148,A32049,0.7825271595189262,A32030,0.8183377660129941
66,Allumination,Jessie Unterhalter and Katey Truhn,42.3643035913187,-71.13338494173396,A32019,0.41039673049318465,A32005,0.47314519617558637,A32040,0.6005839749116103,A32011,0.7268274624578979,A32052,0.8618434749311448
67,Untitled,"Jeremy “Sobek” Harrison, EYEVAN",42.30030546836266,-71.06022732772263,C32041,0.08381898110608277,C32108,0.6181965916761871,B32031,0.9304016268066022,E32009,0.9385991943967616,C32066,0.9732707758583904
68,Turmoil,Jeremy “Sobek” Harrison,42.33201764888748,-71.08247950182269,B32026,0.13798313850047877,B32017,0.26721722150472305,C32005,0.44453545077772166,D32059,0.4590724235393426,B32064,0.4923321448853128
69,Untitled,Iker Muro,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
70,Married in Boston,"Heidi Schork, Michael Evans",42.36049318452591,-71.05760676406486,D32009,0.010884381926564273,B32008,0.1747593680617974,B32032,0.19499378785198027,D32057,0.1956048709430893,D32010,0.28701459573153215
71,Snow Day,"Heidi Schork, Mayor's Mural Crew",42.36049318452591,-71.05760676406486,D32009,0.010884381926564273,B32008,0.1747593680617974,B32032,0.19499378785198027,D32057,0.1956048709430893,D32010,0.28701459573153215
72,Bird and Butterfly 1,"Heidi Schork, Mayor's Mural Crew",42.2921791124042,-71.06530212788618,E32009,0.08990182797575165,C32066,0.2309891413083277,C32038,0.5742489502828092,C32055,0.7182859378476975,C32062,0.7266754434923349
73,Bird and Butterfly 2,"Heidi Schork, Mayor's Mural Crew",42.2921791124042,-71.06530212788618,E32009,0.08990182797575165,C32066,0.2309891413083277,C32038,0.5742489502828092,C32055,0.7182859378476975,C32062,0.7266754434923349
74,Arnold Arboretum Tunnel Flowers,"Heidi Schork, Mayor's Mural Crew",42.296060818025595,-71.1202319206619,C32089,0.3479989997736885,C32048,0.38538049710998723,E32010,0.7315079543449543,D32052,1.1701341474139024,C32047,1.175492241314052
75,Don't Forget to Smile - Gentle Dental,"Heidi Schork, Mayor's Mural Crew",42.31444311628083,-71.11385761565064,E32001,0.612495416496583,E32005,0.6876610493469174,D32041,0.8305367946519241,E32003,0.8781383032132628,D32052,0.9451923987100816
