OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
56,Mystery Map,Liz LaManche,42.37937709,-71.0297468,10,CABANA GRILL,0.09101321568734463,El Palmar Restaurant,0.10328106159473,Pollos A La Brasa Beto's,0.11225624010958953,LA CHIVA RESTAURANT,0.12640449845063406,CHINESE DRAGON,0.138146130072148,Pikalo Empanadas,0.14432794019548392,Tutti Frutti,0.14432794019548392,TAQUERIA JALISCO,0.14880563086737167,Tu Metapan Restaurant,0.15079591104727605,MARIO'S RESTAURANT,0.15128827002032505
57,Play and Yay!,"Lisa Jeanne Graf, Bea Graf",42.31575228,-71.08811437,0,Dublin House of Pizza,0.33118722309125914,Prieto El Rey De Las Empanadas,0.3572784266709231,District 7 Tavern,0.5811342999413225,Popeyes,0.6164862925620573,Crown Fried Chicken,0.6782127231063853,El Dugout,0.7061365237095366,Mcdonalds,0.7077676076383222,Caramelo Bakery Cafe,0.7300089949534315,Fort Hill Bar & Grill,0.7386815262850992,Future Chefs,0.7439270829380766
58,Untitled (Tobin School),Lena McCarthy,42.33310247,-71.0983383,10,CHACHO'S PIZZA,0.13727489931365103,Milkweed,0.14383473375783926,Chilacates,0.1525210599174476,Tavern of Tales,0.1525210599174476,Green Haus Cafe,0.15418230161330812,MIKES DONUTS,0.1625262338967958,Lilly Gourmet Pasta Express,0.16704076268414528,Nachlo,0.1850810194757398,A K's Take Out & Delivery,0.21545607419154889,Cilantro Latin Kitchen,0.25159543387648287
59,Greetings from Columbia Point,Laura DeDonato Wiatt,42.31801891,-71.0431871,1,Fiskie's Cafe,0.12189625196755988,CLUB HOTEL BAR,0.47338848643430587,Marketplace Cafe & Take Away,0.47338848643430587,Columbia Park Cafe @ Santander Bank,0.525400585634797,Beacon Cafe @Univ. of Mass Boston,0.5328867161548959,Dunkin Donuts,0.5328867161548959,Hissho Sushi & Mein Bowl,0.5328867161548959,Integrated Sciences Complex Cafe,0.5328867161548959,UMass Boston Dining Commons,0.5328867161548959,Press Bar,0.5444187070726729
60,"Puzzle Me, Allston-Brighton!",Kit Collins,42.36272923,-71.1307709,5,Dunkin Donuts (209 North Harvard St.),0.017216730747473867,Starbucks Coffee,0.06659313251983588,Sloane's,0.1310784076431143,Swiss Bakers,0.18878742736955217,At Union,0.2953127337110033,WBZ Cafe,0.3191604315505042,SEC Cafe / Kitchen,0.3676803927763663,Spring Shabu-Shabu,0.4267486934713093,Star Market #4572,0.6005877606632669,Ariana Restaurant,0.6138400287924135
61,The Hidden Dragon,Kenji Chai,42.33204691,-71.08996914,2,QUALITY EATS,0.24034145761738973,Reggie Lewis Track and Athletic Center,0.25870726853516873,Ascia Foods,0.3079313180475041,Northeastern University/Cafe Crossing,0.33700478911450193,Northeastern Univ./International Village,0.357025792566838,Anshur Restauruant,0.4006561764945881,Dunkin' Donuts,0.415300887128448,Fasika Cafe,0.4533136517580488,Cilantro Latin Kitchen,0.4784231797832926,Dunkin Donuts,0.4909920097162262
62,Faces of Codman Square,K Jameel Parker,42.29122037,-71.07210351,5,McDonald's,0.0937850143944885,ORIENTAL HOUSE,0.10604503579400458,BILLY'S TEXAS B.B.Q.,0.19942362562303145,China Station Restaurant,0.19942362562303145,Taste of Eden,0.2298596178281616,Essential Herb & Juice Cafe,0.32063536245501306,Raphael's Restaurant,0.379973148861443,J. P. Roti Shop,0.38722087874402117,Kentucky Fried Chicken,0.43065349558111476,Daily Table,0.5168134217271197
63,A Message to the Future,"Julia Csekö, in collaboration with Eddie Maisonet ",42.30590172,-71.10985458,4,Third Cliff Bakery,0.09739980347204713,JP Kitchen,0.16542134510784862,Midway Cafe,0.19978300447548855,Yanes Burrito's,0.20421751439452981,JEANIE JOHNSTON PUB,0.3900869764488124,Little Cocoa Bean Co,0.402226970895031,Italian Pizza & Sub Express,0.42864803082647174,MIKES DONUT SHOP,0.46128381919714817,Juicy Greens,0.525907381948836,Monumental Market,0.5320600857878559
64,The Calling,"Julia ""Julz"" Roth and Cedric ""Vise 1"" Douglas",42.36424863,-71.03315954,1,Seabiscuit,0.05025275286311718,The Quiet Few,0.3936993832335971,Santa Fe Burrito Grill,0.4568853073207689,Dunkin Donuts,0.47558677333374993,Logan Food Market,0.5227734012389667,Starbucks,0.5227734012389667,Cunard Tavern,0.5781708649631118,Bruins Bar,0.6216145443782686,Dunkin (store 1916),0.6216145443782686,Hudson Coffee Terminal E Food Court,0.6216145443782686
65,Fight the Rise,Josie Morway,42.36395478,-71.03234707,1,Seabiscuit,0.034575558203064086,The Quiet Few,0.46110500413405975,Dunkin Donuts,0.47675063225184033,Logan Food Market,0.4862697074002979,Starbucks,0.4862697074002979,Santa Fe Burrito Grill,0.5257127379863356,Bruins Bar,0.5509919132219194,Dunkin (store 1916),0.5509919132219194,Hudson Coffee Terminal E Food Court,0.5509919132219194,Mija Cantina & Tequila Bar,0.5509919132219194
66,Allumination,Jessie Unterhalter and Katey Truhn,42.36430359,-71.13338494,4,WBZ Cafe,0.06177531226945867,Starbucks Coffee,0.24062249381875,Spring Shabu-Shabu,0.27859171513683584,Dunkin Donuts (209 North Harvard St.),0.2918826866188719,Sloane's,0.3139837651329175,Swiss Bakers,0.4264870451142985,Ariana Restaurant,0.4447643251529807,Mcdonalds,0.4447643251529807,Perillas Food,0.4447643251529807,At Union,0.4535223783658106
67,Untitled,"Jeremy “Sobek” Harrison, EYEVAN",42.30030547,-71.06022733,10,Coco Leaf,0.03392141104768696,Cibao Restaurant,0.04500047206511364,Gong Cha,0.06067777117950388,Dot Cafe,0.07627734509250601,Golden Chef,0.08259880359831757,IRIE JAMAICAN STYLE RESTAURANT,0.1026910958519311,Home Stead,0.1052206249143523,Antonio's Hi-Fi,0.11286599407672032,THE BLARNEY STONE,0.11601770524150146,Saigon Chicken House,0.13095694499428875
68,Turmoil,Jeremy “Sobek” Harrison,42.33201765,-71.0824795,4,Dahlak Restaurant,0.17846354741010426,Khadija's  Express Cafe,0.17846354741010426,Residence Inn,0.19811547868146862,Dudley Cafe,0.23027067791431408,Royal Fried Chicken,0.33593748264898404,Yummy Yummy,0.33593748264898404,Arizona B B Q,0.33642863774097453,Dunkin' Donuts,0.33642863774097453,Shanti Express,0.33896825395160934,PEKING HOUSE,0.3461294004655683
69,Untitled,Iker Muro,42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
70,Married in Boston,"Heidi Schork, Michael Evans",42.36049318,-71.05760676,10,Recreo Coffee,0.04839036869885317,Zaz Restaurant & Catering Corp.,0.04839036869885317,Koy,0.08038660197180061,The White Bull,0.08038660197180061,Alma Cantina,0.0818013892683634,Loyal Nine,0.08576123515590112,HENNESSY'S OF BOSTON,0.09241546478205018,Saus Boston,0.10138131914649498,UNION OYSTER HOUSE,0.10504310669160531,DUNKIN DONUTS',0.10611566087319618
