id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
78,Birch Trees,"Heidi Schork, Mayor's Mural Crew",42.28711572,-71.13007819,C32046,0.1786829181086422,C32047,0.19175443849184734,C32059,0.5545417144400244,C32048,0.9574886831703763,C32079,1.4270525570219879
79,Butterflies and Plants 1,"Heidi Schork, Mayor's Mural Crew",42.32172287,-71.11094504,E32003,0.09107984024898458,E32007,0.6532738754732191,D32041,0.7567162813129074,E32012,0.7890631119416551,E32006,0.9006148848601734
80,Butterflies and Plants 2,"Heidi Schork, Mayor's Mural Crew",42.32172287,-71.11094504,E32003,0.09107984024898458,E32007,0.6532738754732191,D32041,0.7567162813129074,E32012,0.7890631119416551,E32006,0.9006148848601734
81,To Immigrants with Love: East Boston 1,"Heidi Schork, Mayor's Mural Crew",42.37182948,-71.03866397,A32036,0.2545275767280976,A32031,0.2624779464369394,A32049,0.289204993352155,A32030,0.34408733084689885,A32041,0.40436066862447495
82,To Immigrants with Love: East Boston 2,"Heidi Schork, Mayor's Mural Crew",42.37182948,-71.03866397,A32036,0.2545275767280976,A32031,0.2624779464369394,A32049,0.289204993352155,A32030,0.34408733084689885,A32041,0.40436066862447495
83,To Immigrants with Love: Roslindale,"Heidi Schork, Mayor's Mural Crew",42.28042176,-71.119178,C32079,0.26079467767441383,C32105,0.9809131727853605,C32046,0.9908575674418298,C32047,1.0227613723553082,C32106,1.3686935548980987
84,To Immigrants with Love: Grandmothers,"Heidi Schork, Mayor's Mural Crew",42.368314,-71.038761,A32030,0.10241414227537941,A32031,0.1465304482093368,A32057,0.3190439804659991,A32049,0.36282192377315187,A32044,0.4494362004848552
85,Become a Big Sister,"Heidi Schork, Mayor's Mural Crew",42.31933424,-71.07754194,B32022,0.43446322035392654,C32015,0.6903160388511527,B32029,1.1499299431352001,B32023,1.1547779516412529,C32022,1.2165300543687432
86,Roxbury Center for the Performing Arts,"Heidi Schork, Mayor's Mural Crew",42.28932901,-71.09012119,C32092,0.37529012950542917,C32094,0.4058412454772309,C32043,0.634244873434566,C32099,0.8667472752734667,C32110,1.0532448481836783
87,Ray Bolger as the Scarecrow,"Heidi Schork, Mayor's Mural Crew",42.29114784,-71.06273553,C32066,0.06477004993711276,E32009,0.3168968787209525,C32062,0.6167205793687126,C32038,0.7535205875999279,C32055,0.8087521180467631
88,Literary District Alley 1,"Heidi Schork, Mayor's Mural Crew",42.35532689,-71.06169309,D32014,0.1417160202998098,B32056,0.1506918220314761,D32019,0.334143331524186,B32061,0.3511169549252344,A32058,0.4753907892923853
