OBJECTID,OS_ID,PARK_ID,Name,Type,Acres,Avg. Lat,Avg. Long
428,3091,,Stony Brook Reservation III,"Parkways, Reservations & Beaches",70.24374286,42.26158397650008,-71.13221384099995
429,132,132,George Wright Golf Course,Parks,155.98362996,42.26768137900004,-71.13299889049998
430,1029,,DeForest Urban Wild,Urban Wilds,1.0238238,42.268025324000064,-71.13039054499998
431,7156,,ICA Pier Walk,"Malls, Squares & Plazas",0.29264781,42.35288082000005,-71.04304822699996
432,7157,,Fan Pier Harborwalk,"Malls, Squares & Plazas",1.66183038,42.35400878750008,-71.04445306849996
433,194,194,McLaughlin Playground,Playgrounds,11.66941737,42.328352272000075,-71.10304816749996
434,1030,,Parker Hilltop,Urban Wilds,1.69475448,42.329010455500054,-71.10494816149998
435,182,182,LoPresti Park,Parks,3.23416881,42.37004387950006,-71.04373424299996
436,255,255,Raymond V. Mellone Park I,Parks,1.08096812,42.360778058500046,-71.12731123149996
437,136,136,General Edward O. Gourdin African-American Veterans Memorial Park,"Malls, Squares & Plazas",0.50447733,42.32891998600007,-71.08569869149997
438,104,104,Elliot Norton Park,Parks,0.94506693,42.34919250750005,-71.06596056299995
439,2108,,Bay Village Neighborhood Park,"Malls, Squares & Plazas",0.09401441,42.34951692800004,-71.06680458799997
440,18,018,Beauford Play Area,Parks,0.23574206,42.31588729000006,-71.07569784449996
441,55,055,Children's Park,Parks,0.34855408,42.31063003950007,-71.07816011749998
442,325,325,Winthrop Playground,Playgrounds,1.56102517,42.31750587150006,-71.07598495099995
443,86,086,Denton Square,"Malls, Squares & Plazas",0.07436155,42.31356190450006,-71.07244620549997
444,49,049,Ceylon Park,Parks,4.64357435,42.31030520650006,-71.07394872549997
445,141,141,Hannon Playground,Playgrounds,1.96738119,42.31951535250005,-71.07152251899998
446,4082,,Portal Park,"Malls, Squares & Plazas",0.36661681,42.366238243000055,-71.06037335249997
447,149,149,Healy Playground,Playgrounds,9.60460873,42.288299049000045,-71.12366385799996
448,2202,2202,Menino Park,Parks,1.23670225,42.377830597500065,-71.04836549099997
449,290,290,Spectacle Island I,Parks,86.00358069,42.32586512800003,-70.98708089049995
450,3093,,Spectacle Island II,Parks,25.52192665,42.32164580400004,-70.98558122799994
451,68,068,Cook Street Play Area,Parks,0.10135288,42.38090856000008,-71.06406163199995
452,7164,,Spaulding Rehabilitation Plaza,"Malls, Squares & Plazas",0.29724262,42.37953811100007,-71.05051027449994
453,5002,,Navy Yard Grounds,Parks,3.58076532,42.374272922000046,-71.05693990299997
454,56,056,Christopher Columbus Park,Parks,4.86711363,42.361321447500046,-71.05159810549995
455,2209,,Long Wharf,"Malls, Squares & Plazas",3.90122458,42.36000017150005,-71.04921483899997
456,235,235,Peter Looney Park,Parks,0.66841561,42.37427615350006,-71.06582160699995
457,2211,,Charlestown Naval Shipyard Park I,Parks,9.58138441,42.37309625650005,-71.05285864899997
458,3094,,Constitution Beach,"Parkways, Reservations & Beaches",25.31309776,42.38323867100004,-71.00961980899996
459,4085,,Massport Harborwalk,"Malls, Squares & Plazas",2.47144426,42.36166025150004,-71.02710264099994
460,214,214,Nira Rock,Urban Wilds,1.44765781,42.32539883950005,-71.10972334899998
461,165,165,Jefferson Playground,Playgrounds,3.40077045,42.326180969000035,-71.10861569399995
462,3095,,Arborway I,"Parkways, Reservations & Beaches",16.77585562,42.30547955250006,-71.11751893049998
463,350,350,Amory Street Park,Parks,0.12224663,42.31961303300005,-71.09986459299995
464,248,248,Puopolo Playground,Playgrounds,2.65425058,42.36846590500005,-71.05440027899996
465,3097,,Stony Brook Reservation II,"Parkways, Reservations & Beaches",141.95723737,42.26289563800003,-71.14517673049994
466,335,335,A Street Park,Parks,1.3607258,42.343760348000046,-71.05286863949996
467,7174,,Fort Point Channel Harborwalk,"Malls, Squares & Plazas",1.41395605,42.34909380950006,-71.05228112899997
468,124,124,Franklin Park,Parks,392.18501638,42.29919302850004,-71.09520658649998
469,3098,,Charlesgate I,"Parkways, Reservations & Beaches",6.59092994,42.34967217450006,-71.09222564099997
470,1,001,Adams Park,Parks,0.7051637,42.28646210750006,-71.12833513649997
471,11,011,Arnold Arboretum,Parks,224.27203832,42.30214726250006,-71.12297779899995
472,6,006,Hunt Playground,Playgrounds,18.67,42.274029461000055,-71.09703403099996
473,3099,,Pope John Paul II Park I,"Parkways, Reservations & Beaches",70.00617732,42.28102827600006,-71.04397950699996
474,3100,,Port Norfolk Park,"Parkways, Reservations & Beaches",12.72565247,42.28816107100005,-71.03858378299995
475,4091,,Pope John Paul II Park II,"Parkways, Reservations & Beaches",0.33162551,42.28570117000004,-71.03910144749995
476,3101,,Neponset River Reservation I,"Parkways, Reservations & Beaches",183.50152012,42.272801734500035,-71.05940821149994
477,3102,,West Link Park,"Parkways, Reservations & Beaches",3.58777585,42.322386736000055,-71.04491273949995
478,3103,,Carson Beach,"Parkways, Reservations & Beaches",24.64639659,42.32642110100008,-71.04115153849995
479,3104,,Commercial Point,"Parkways, Reservations & Beaches",2.38153477,42.30190246800004,-71.04800656649996
480,3105,,Charles River Reservation,"Parkways, Reservations & Beaches",171.8964419,42.35867468550006,-71.09335506099995
481,120,120,Forbes Street Playground,Playgrounds,0.09115367,42.32056582800004,-71.10604534149996
482,309,309,Union Park Street Playground,Playgrounds,0.40978067,42.33954175850005,-71.06554342849998
483,244,244,Porzio Park,Parks,2.50423194,42.36471875950005,-71.02865667399996
484,270,270,Ross Playground,Playgrounds,13.12495412,42.26411925900007,-71.11293523699996
485,207,207,Mt. Hope Cemetery,Cemeteries & Burying Grounds,125.04694818,42.282499342500074,-71.10667873449998
486,7186,,Calvary Cemetery,Cemeteries & Burying Grounds,47.23674938,42.27709399900007,-71.11139009349995
487,7187,,New Calvary Cemetery,Cemeteries & Burying Grounds,59.44638436,42.279245508500054,-71.10298506199996
488,276,276,Savin Hill Park,Parks,8.29027982,42.31077845050007,-71.04893953549995
489,4093,,Southwest Corridor Park,"Parkways, Reservations & Beaches",48.47698106,42.312662030500064,-71.10628019649997
490,222,222,Orton Field,Athletic Fields,1.59444785,42.338636805500045,-71.05327651349995
491,230,230,Paul Gore Street Park,Parks,0.7340119,42.31990996250005,-71.10791041299996
492,5,005,Allen Park,Parks,1.29344677,42.30811214400006,-71.06321584599996
493,2125,,Boston Nature Center_Visitor Ctr,Parks,2.33062987,42.288251221500076,-71.10129818449997
494,7189,,Boston Nature Center,Urban Wilds,58.53155346,42.28835244950005,-71.10071009599997
495,75,075,Cunningham Park,"Malls, Squares & Plazas",0.17970203,42.35011209350006,-71.14771116899996
496,195,195,McLean Playground,Playgrounds,0.4270713,42.38269913100004,-71.01923781549996
497,4094,,Navy Fuel Pier Airport Edge Buffer,Parks,0.84353898,42.363556442500055,-71.02961556899996
498,117,117,Fidelis Way Park,Parks,4.90352493,42.34777385700005,-71.14322675399998
499,142,142,Harambee Park,Parks,44.74639215,42.29274633950004,-71.08487241249998
500,7190,,St Mary's Cemetery,Cemeteries & Burying Grounds,10.50258252,42.290236042500055,-71.08024715049996
501,3107,,VFW Parkway I,"Parkways, Reservations & Beaches",12.44234167,42.28531987100004,-71.17198837749996
502,343,343,VFW Parkway II,Parks,0.64656848,42.296681473000035,-71.13407838449996
503,42,042,Carroll Pond Playground,Playgrounds,0.48428662,42.256388034000054,-71.15979417649996
504,220,220,O'Donnell Square,"Malls, Squares & Plazas",0.06098479,42.290546649500044,-71.04850181499995
505,7191,,Grove Street Cemetery,Cemeteries & Burying Grounds,25.38168175,42.25888413200005,-71.15404959099996
506,171,171,King's Chapel Burying Ground,Cemeteries & Burying Grounds,0.43176542,42.35828654200006,-71.05983846199996
507,2130,,Blue Hill Club Recreation Center,Parks,3.04202852,42.29402656800005,-71.08664506349996
508,3108,,Columbia Road/Day Boulevard,"Parkways, Reservations & Beaches",16.85070443,42.32601070600006,-71.04966716349998
509,332,332,Columbia Park,Parks,0.33933352,42.333120287500066,-71.02551187549997
510,2135,,Bellevue Street Green,"Malls, Squares & Plazas",0.11772279,42.276401693000054,-71.14556271949996
